"Datum";"Präfix";"Wasserstand(GOK) [cm u. GOK]";"Hinweise"
01.11.1984;"";2866;"Geprüft"
08.11.1984;"";2864;"Geprüft"
15.11.1984;"";2862;"Geprüft"
22.11.1984;"";2867;"Geprüft"
01.12.1984;"";2863;"Geprüft"
08.12.1984;"";2865;"Geprüft"
15.12.1984;"";2865;"Geprüft"
22.12.1984;"";2866;"Geprüft"
01.01.1985;"";2862;"Geprüft"
08.01.1985;"";2863;"Geprüft"
15.01.1985;"";2864;"Geprüft"
22.01.1985;"";2860;"Geprüft"
01.02.1985;"";2861;"Geprüft"
08.02.1985;"";2864;"Geprüft"
15.02.1985;"";2866;"Geprüft"
22.02.1985;"";2865;"Geprüft"
01.03.1985;"";2863;"Geprüft"
08.03.1985;"";2865;"Geprüft"
15.03.1985;"";2862;"Geprüft"
22.03.1985;"";2862;"Geprüft"
01.04.1985;"";2864;"Geprüft"
08.04.1985;"";2861;"Geprüft"
15.04.1985;"";2862;"Geprüft"
22.04.1985;"";2863;"Geprüft"
01.05.1985;"";2863;"Geprüft"
08.05.1985;"";2864;"Geprüft"
15.05.1985;"";2866;"Geprüft"
22.05.1985;"";2864;"Geprüft"
01.06.1985;"";2867;"Geprüft"
08.06.1985;"";2868;"Geprüft"
15.06.1985;"";2867;"Geprüft"
22.06.1985;"";2867;"Geprüft"
01.07.1985;"";2866;"Geprüft"
08.07.1985;"";2866;"Geprüft"
15.07.1985;"";2867;"Geprüft"
22.07.1985;"";2865;"Geprüft"
01.08.1985;"";2869;"Geprüft"
08.08.1985;"";2868;"Geprüft"
15.08.1985;"";2868;"Geprüft"
22.08.1985;"";2867;"Geprüft"
01.09.1985;"";2867;"Geprüft"
08.09.1985;"";2869;"Geprüft"
15.09.1985;"";2869;"Geprüft"
22.09.1985;"";2869;"Geprüft"
01.10.1985;"";2869;"Geprüft"
08.10.1985;"";2869;"Geprüft"
15.10.1985;"";2870;"Geprüft"
22.10.1985;"";2872;"Geprüft"
01.11.1985;"";2869;"Geprüft"
08.11.1985;"";2870;"Geprüft"
15.11.1985;"";2872;"Geprüft"
22.11.1985;"";2871;"Geprüft"
01.12.1985;"";2873;"Geprüft"
08.12.1985;"";2873;"Geprüft"
15.12.1985;"";2871;"Geprüft"
22.12.1985;"";2874;"Geprüft"
01.01.1986;"";2873;"Geprüft"
08.01.1986;"";2873;"Geprüft"
15.01.1986;"";2873;"Geprüft"
22.01.1986;"";2869;"Geprüft"
01.02.1986;"";2872;"Geprüft"
08.02.1986;"";2872;"Geprüft"
15.02.1986;"";2873;"Geprüft"
22.02.1986;"";2875;"Geprüft"
01.03.1986;"";2872;"Geprüft"
08.03.1986;"";2875;"Geprüft"
15.03.1986;"";2876;"Geprüft"
22.03.1986;"";2876;"Geprüft"
01.04.1986;"";2874;"Geprüft"
08.04.1986;"";2873;"Geprüft"
15.04.1986;"";2874;"Geprüft"
22.04.1986;"";2876;"Geprüft"
01.05.1986;"";2874;"Geprüft"
08.05.1986;"";2874;"Geprüft"
15.05.1986;"";2875;"Geprüft"
22.05.1986;"";2874;"Geprüft"
01.06.1986;"";2876;"Geprüft"
08.06.1986;"";2877;"Geprüft"
15.06.1986;"";2875;"Geprüft"
22.06.1986;"";2875;"Geprüft"
01.07.1986;"";2876;"Geprüft"
08.07.1986;"";2877;"Geprüft"
15.07.1986;"";2878;"Geprüft"
22.07.1986;"";2876;"Geprüft"
01.08.1986;"";2878;"Geprüft"
08.08.1986;"";2878;"Geprüft"
15.08.1986;"";2877;"Geprüft"
22.08.1986;"";2876;"Geprüft"
01.09.1986;"";2878;"Geprüft"
08.09.1986;"";2878;"Geprüft"
15.09.1986;"";2879;"Geprüft"
22.09.1986;"";2877;"Geprüft"
01.10.1986;"";2878;"Geprüft"
08.10.1986;"";2877;"Geprüft"
15.10.1986;"";2877;"Geprüft"
22.10.1986;"";2876;"Geprüft"
01.11.1986;"";2877;"Geprüft"
08.11.1986;"";2881;"Geprüft"
15.11.1986;"";2880;"Geprüft"
22.11.1986;"";2877;"Geprüft"
01.12.1986;"";2879;"Geprüft"
08.12.1986;"";2881;"Geprüft"
15.12.1986;"";2879;"Geprüft"
22.12.1986;"";2884;"Geprüft"
01.01.1987;"";2883;"Geprüft"
08.01.1987;"";2882;"Geprüft"
15.01.1987;"";2882;"Geprüft"
22.01.1987;"";2883;"Geprüft"
01.02.1987;"";2882;"Geprüft"
08.02.1987;"";2880;"Geprüft"
15.02.1987;"";2880;"Geprüft"
22.02.1987;"";2880;"Geprüft"
01.03.1987;"";2878;"Geprüft"
08.03.1987;"";2882;"Geprüft"
15.03.1987;"";2878;"Geprüft"
22.03.1987;"";2879;"Geprüft"
01.04.1987;"";2877;"Geprüft"
08.04.1987;"";2878;"Geprüft"
15.04.1987;"";2879;"Geprüft"
22.04.1987;"";2880;"Geprüft"
01.05.1987;"";2877;"Geprüft"
08.05.1987;"";2879;"Geprüft"
15.05.1987;"";2877;"Geprüft"
22.05.1987;"";2878;"Geprüft"
01.06.1987;"";2880;"Geprüft"
08.06.1987;"";2877;"Geprüft"
15.06.1987;"";2875;"Geprüft"
22.06.1987;"";2878;"Geprüft"
01.07.1987;"";2877;"Geprüft"
08.07.1987;"";2877;"Geprüft"
15.07.1987;"";2876;"Geprüft"
22.07.1987;"";2878;"Geprüft"
01.08.1987;"";2877;"Geprüft"
08.08.1987;"";2879;"Geprüft"
15.08.1987;"";2879;"Geprüft"
22.08.1987;"";2877;"Geprüft"
01.09.1987;"";2877;"Geprüft"
08.09.1987;"";2868;"Geprüft"
15.09.1987;"";2868;"Geprüft"
22.09.1987;"";2867;"Geprüft"
01.10.1987;"";2868;"Geprüft"
08.10.1987;"";2864;"Geprüft"
15.10.1987;"";2866;"Geprüft"
22.10.1987;"";2867;"Geprüft"
01.11.1987;"";2867;"Geprüft"
08.11.1987;"";2866;"Geprüft"
15.11.1987;"";2868;"Geprüft"
22.11.1987;"";2865;"Geprüft"
01.12.1987;"";2867;"Geprüft"
08.12.1987;"";2869;"Geprüft"
15.12.1987;"";2868;"Geprüft"
22.12.1987;"";2870;"Geprüft"
01.01.1988;"";2867;"Geprüft"
08.01.1988;"";2868;"Geprüft"
15.01.1988;"";2868;"Geprüft"
22.01.1988;"";2864;"Geprüft"
01.02.1988;"";2867;"Geprüft"
08.02.1988;"";2863;"Geprüft"
15.02.1988;"";2871;"Geprüft"
22.02.1988;"";2870;"Geprüft"
01.03.1988;"";2872;"Geprüft"
08.03.1988;"";2874;"Geprüft"
15.03.1988;"";2873;"Geprüft"
22.03.1988;"";2871;"Geprüft"
01.04.1988;"";2871;"Geprüft"
08.04.1988;"";2868;"Geprüft"
